treeID,height,ch_area,live,species,x,y,b_mean,g_mean,r_mean,re_mean,nir_mean,ndvi_mean,rgi_mean,cire_mean,cig_mean,ndre_mean,crs
eldo_3k_2_6944,30.553,74.52513662970159,0,NA,715860.688,4268442.5,0.01823757089229748,0.028607752529098543,0.04152528258029253,0.06656119277869764,0.12401473758378463,0.5454407578844926,1.3342602250488866,1.0669833823599009,3.998810016841671,0.29247254152575125,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_23672,15.805,12.531127576250583,0,NA,715442.938,4268436.5,0.029775907730726307,0.0392870049633952,0.04537686758058983,0.07034497289361413,0.13665429100937954,0.5417469235761119,1.0847848764727648,1.1871727393678708,3.4186254757296135,0.2724678322316249,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_23171,16.377,10.677954224716814,0,NA,715426.813,4268427.5,0.04102788319924156,0.05971380525946914,0.05477967879757091,0.11679691226090821,0.22229476768812215,0.6109920260194623,0.8887877125552252,0.944491017092741,2.9902062364838207,0.38304468241551576,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_10698,27.151,18.26524413295556,0,NA,715697,4268412,0.043634915210504686,0.05810506196349422,0.07193639356468819,0.10160649538818682,0.15428514092969414,0.3612837404251928,1.2365510824221841,0.529069630408385,1.688199118379266,0.1704760036753429,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_8579,28.998,29.035091249505058,0,NA,715658.75,4268402,0.02010170454004467,0.027901169759232472,0.031447470143343516,0.05207314164781908,0.1091969745416775,0.5939759268994611,1.059160206834669,1.4257732478246503,4.257415561745981,0.31087276237808276,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_6510,30.975,40.77287684631301,0,NA,715708.125,4268401.5,0.036684106529225116,0.045842148813775005,0.06173673298306406,0.07668280658992199,0.11471153915525648,0.30481910983200133,1.3461076626242288,0.5098144243289493,1.5438280684824268,0.11086973862122508,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_9362,28.308,10.04389326124874,0,NA,715710.625,4268398,0.04019897192696205,0.05148850609786319,0.06814948333780804,0.08794734549851421,0.12966284620147334,0.31513866663349727,1.320468100927734,0.48848448462129346,1.5562585900232753,0.12962760236235565,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_5290,32.307,31.64178632912808,0,NA,715686,4268393.5,0.031584633746819586,0.03932751826913537,0.04962278339093543,0.06636701198875207,0.11006485040604508,0.3873708202635122,1.2557827113782989,0.699791168450805,1.9171614135561446,0.15180375603280447,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_6563,30.919,22.406550531479297,0,NA,715677.625,4268393.5,0.026589557370229798,0.034708499333920034,0.03990904185121881,0.061900255064959143,0.11335723809984621,0.4841312919164056,1.1425208729534537,0.8627388941444358,2.4073710247435365,0.22561208949315195,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_6787,30.698,31.941969780949876,0,NA,715712.75,4268395,0.032908097511815455,0.04557503201541474,0.05367746296935453,0.08392307114882205,0.13372447210514618,0.42237037759403073,1.1871944588980912,0.616497551932596,1.9932880466271559,0.21766747808231546,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
